ID,Who,Precondition,I want to...,In order to...,Notes
T1,User,Online,Browse available texts,Find a text to read,
T2,User,Online,Select a text to read,Access a text to read,
T3,User,Online,Read a text,Read a text,
T4,User,Online,Navigate a table of contexts for a text,Read a specific portion of a text,
T5,User,Online & Logged in,Bookmark my place in a text, Save a marker at a specific point in a text,see also auth user stories
T6,User,Online & Logged in,Pick up reading at a bookmarked place in a text, return to a specific point in a text,see also auth user stories
T7,User,Online,Search for a word in a text,find all uses of a word in a text,
T8,User,Online,Search for a word across multiple texts,find all uses of a word across multiple texts,
T9,User,Online & Logged in,Upload my own text,make a text available for use with Alpheios,see also auth user stories
T10,User,Online,Select one or more sections of a text to read while offline,Have acess a text while offline,
T1,User,Offline,Browse available texts,Find a text to read,
T2,User,Offline,Select a text to read,Access a text to read,
T3,User,Offline,Read a text,Read a text,
T4,User,Offline,Navigate a table of contexts for a text,Read a specific portion of a text,
T7,User,Offline,Search for a word in a text,find all uses of a word in a text,
T8,User,Offline,Search for a word across multiple texts,find all uses of a word across multiple texts,
